item,itemcate,itemprice
ax10002,家具,23700
gr10003,家電,28200
nb10004,雑貨,26900
de10005,雑貨,4200
lg10006,家電,4700
vb10007,本,1381
jz10008,本,1751
gp10009,雑貨,7400
pz10010,食品,20400
da10011,家電,7400
ny10012,雑貨,10400
pd10013,衣料,21400
ig10014,雑貨,17300
fh10015,家電,6500
pe10016,家電,14500
he10017,本,1852
zr10018,雑貨,10700
xx10019,雑貨,22500
jb10020,食品,27400
qu10021,本,2250
zu10022,家具,24900
re10023,家具,20900
yl10024,雑貨,26900
ap10025,家電,4600
ed10026,食品,1700
ol10027,雑貨,2300
fv10028,雑貨,14000
gr10029,食品,25800
gb10030,家電,19000
sf10031,雑貨,21500
id10032,家具,5200
pg10033,家電,17200
pt10034,家具,11300
em10035,本,2467
ob10036,食品,9000
qt10037,本,1682
dr10038,食品,4100
np10039,衣料,22100
is10040,雑貨,18700
oo10041,食品,8300
sa10042,家電,18000
cz10043,食品,19100
eq10044,衣料,20700
da10045,家電,14600
pe10046,雑貨,5200
jy10047,食品,15700
ga10048,本,1843
yq10049,家電,19600
gh10050,衣料,17900
tf10051,家具,23800
oh10052,衣料,16900
cc10053,衣料,22100
vi10054,衣料,29600
za10055,衣料,5900
fj10056,本,910
bx10057,家電,18400
rp10058,食品,1200
he10059,家具,26100
bx10060,家具,10100
cl10061,家具,20700
qq10062,家電,24400
wc10063,食品,2400
zl10064,衣料,2000
in10065,食品,29800
bj10066,雑貨,18000
tl10067,雑貨,18700
wf10068,雑貨,3200
nb10069,家具,14400
mh10070,家具,14100
fh10071,食品,8700
rh10072,家具,8400
cy10073,衣料,12100
ny10074,本,1347
sc10075,家電,7800
bn10076,家具,5200
kc10077,食品,9400
yz10078,衣料,19900
bv10079,本,2034
kr10080,家具,21300
jg10081,食品,12100
rp10082,本,723
jj10083,雑貨,15400
ft10084,家具,23900
gq10085,家具,17400
om10086,衣料,27500
de10087,衣料,10000
xo10088,衣料,17700
yj10089,衣料,20800
tu10090,食品,23000
or10091,家電,14200
kt10092,家電,19400
ap10093,本,1586
mq10094,家電,25100
xb10095,本,1923
fl10096,衣料,16200
iy10097,本,2175
pc10098,衣料,10200
uy10099,雑貨,12500
bk10100,家具,8500
in10101,家具,14400
um10102,家電,17800
bu10103,衣料,3100
yl10104,雑貨,25400
ho10105,家具,25200
ip10106,雑貨,12700
fj10107,雑貨,15000
xi10108,家具,5600
fx10109,家電,10200
jl10110,衣料,20500
pf10111,家電,22600
pg10112,家具,16700
ru10113,衣料,13800
eb10114,家具,28600
ai10115,家電,11700
pj10116,衣料,29300
ko10117,家電,9800
bc10118,家具,23200
ox10119,本,1784
ay10120,家具,29300
kc10121,本,864
bj10122,家電,20000
sb10123,雑貨,24100
jl10124,本,1564
hf10125,食品,14600
sz10126,雑貨,6300
ct10127,本,877
fz10128,食品,9400
uh10129,本,1427
jm10130,本,1774
hj10131,家具,16900
ih10132,家電,7100
is10133,衣料,29100
kx10134,食品,4600
ok10135,食品,4200
tx10136,食品,21200
xo10137,本,1424
mf10138,家電,16200
cl10139,家具,9300
gu10140,本,1171
vh10141,家具,4600
uy10142,食品,21800
aq10143,雑貨,20700
id10144,雑貨,13400
vy10145,衣料,19800
hi10146,家具,17300
lu10147,本,2084
nk10148,雑貨,6700
ft10149,雑貨,20200
ut10150,食品,6900
wb10151,家電,13200
pa10152,家電,25200
ik10153,雑貨,19900
ip10154,家具,6400
ve10155,家電,13800
xa10156,家具,25500
xh10157,家電,13600
qn10158,本,647
pz10159,家電,22100
yu10160,食品,16600
bs10161,雑貨,16300
zv10162,家具,7000
jd10163,家電,16100
le10164,家具,26600
kq10165,家電,10800
lj10166,家電,15900
am10167,食品,24200
ja10168,家電,23300
bn10169,家電,9700
ap10170,雑貨,17700
ei10171,雑貨,25400
hd10172,食品,19600
qz10173,衣料,3900
tx10174,雑貨,26700
xj10175,家具,8300
rj10176,家電,18600
bb10177,家電,13800
vu10178,家電,23900
ig10179,家具,28600
lx10180,衣料,26700
af10181,衣料,23700
yi10182,衣料,18400
qe10183,雑貨,27400
td10184,衣料,17600
bz10185,家具,29000
ap10186,食品,27700
vx10187,本,1411
il10188,衣料,16800
wp10189,家具,13300
hw10190,家具,22000
aq10191,家具,12400
zh10192,衣料,4200
nv10193,家電,11500
xu10194,家電,24100
dx10195,衣料,25700
ve10196,家具,10700
na10197,食品,28300
wx10198,衣料,26400
wk10199,食品,14300
lx10200,家具,15200
bf10201,食品,3800
cx10202,家電,19900
it10203,衣料,3100
ai10204,本,1853
kl10205,衣料,17900
qa10206,家電,9200
rh10207,本,788
eu10208,家具,5500
zy10209,本,916
im10210,家具,22800
ia10211,家電,12800
cd10212,家具,28600
gq10213,雑貨,20300
wf10214,家電,22500
uo10215,雑貨,3800
vi10216,家具,13000
ti10217,雑貨,7100
lm10218,本,679
oi10219,雑貨,12500
dc10220,衣料,6600
gv10221,雑貨,11300
tr10222,家電,16700
tw10223,本,1506
he10224,家電,29000
pb10225,家電,19500
rx10226,本,2174
do10227,食品,6900
jr10228,雑貨,15900
ks10229,食品,20900
xy10230,本,1018
in10231,食品,13500
rj10232,雑貨,17200
ms10233,家電,28700
nt10234,家電,26400
dm10235,雑貨,14200
tb10236,雑貨,17200
gx10237,家具,13200
cx10238,家具,28000
jn10239,雑貨,24900
gi10240,食品,18400
pc10241,家電,20000
pt10242,衣料,17200
pq10243,衣料,23200
kt10244,雑貨,19300
uy10245,家電,28300
eo10246,家電,28900
pn10247,食品,1600
is10248,雑貨,9900
kg10249,家電,19600
fa10250,雑貨,17200
ph10251,家電,3800
ja10252,家具,4500
wq10253,家電,9500
um10254,家具,22100
bp10255,雑貨,6500
yf10256,食品,2400
oj10257,家電,13600
qg10258,食品,1600
xe10259,食品,13000
na10260,食品,23200
zu10261,家具,29200
ou10262,食品,6300
eu10263,家電,18000
mm10264,本,749
zp10265,食品,24800
ap10266,衣料,26900
gv10267,本,1051
xa10268,家電,14800
cz10269,家具,16400
ik10270,家電,1700
wf10271,衣料,21900
qr10272,家電,10300
mr10273,家電,10100
mq10274,衣料,13700
ft10275,家電,29400
jj10276,家具,23100
hy10277,食品,2400
re10278,雑貨,29500
ej10279,家具,8100
qz10280,家具,12000
pz10281,家具,29200
zi10282,食品,5400
hi10283,本,956
tv10284,家具,2400
bu10285,衣料,12300
nm10286,本,657
zw10287,衣料,19200
ej10288,家電,8600
ib10289,家電,6900
gz10290,本,1647
gg10291,家具,3500
jl10292,雑貨,5100
fq10293,本,1285
ev10294,食品,9900
oz10295,雑貨,11000
gr10296,家電,23300
wb10297,本,1454
wl10298,家具,29300
sk10299,家具,15500
nt10300,衣料,9300
hj10301,家具,26100
et10302,家電,9200
du10303,本,618
he10304,本,1672
ov10305,衣料,28400
ac10306,食品,29700
rh10307,衣料,29200
qn10308,雑貨,27400
uf10309,食品,9800
sc10310,雑貨,1300
kv10311,家電,26800
qe10312,家具,9000
wd10313,雑貨,19400
rq10314,雑貨,5100
jw10315,家具,29300
qz10316,雑貨,21500
le10317,本,612
lg10318,家電,27800
oo10319,本,2371
cp10320,衣料,29000
pt10321,家具,14000
nz10322,本,1842
il10323,雑貨,23500
ye10324,家電,5800
eu10325,家具,13200
ya10326,本,1089
ai10327,本,954
hx10328,衣料,4500
qx10329,雑貨,9500
mi10330,家電,28400
jp10331,家具,24800
gp10332,本,748
zn10333,雑貨,10400
pw10334,本,808
ji10335,家電,22500
gi10336,雑貨,23300
bf10337,家電,11000
sd10338,雑貨,6100
rw10339,家電,1600
nq10340,本,1661
np10341,本,1641
oo10342,家電,4000
on10343,家電,27900
zx10344,家電,13600
iu10345,雑貨,15200
dz10346,本,2314
fh10347,食品,9600
sn10348,家具,19200
xo10349,衣料,25000
kg10350,家電,23300
mo10351,衣料,21400
qm10352,家電,7300
yu10353,家具,18300
kj10354,家電,17700
pz10355,雑貨,13200
ip10356,衣料,16800
oy10357,食品,9400
ts10358,家電,24300
ru10359,家電,3000
hk10360,本,1951
iq10361,家電,19300
sx10362,食品,23200
nj10363,本,1030
uu10364,衣料,20300
zw10365,家具,15000
sl10366,衣料,19000
do10367,雑貨,11700
dg10368,本,2183
ga10369,本,873
ul10370,衣料,15100
km10371,雑貨,29900
np10372,衣料,5300
gu10373,食品,5000
dd10374,衣料,12000
lr10375,家具,10400
se10376,家電,29700
xn10377,本,1447
bs10378,本,803
wx10379,家電,14700
oo10380,雑貨,7700
ao10381,衣料,23700
pf10382,雑貨,13900
jj10383,家電,1600
wo10384,雑貨,15200
fz10385,雑貨,22100
gm10386,衣料,1300
nz10387,雑貨,24000
si10388,雑貨,14900
kk10389,家電,11600
xn10390,衣料,22000
pz10391,家具,16200
fv10392,雑貨,21000
rq10393,家具,14200
xt10394,家具,1300
ge10395,家具,17900
ov10396,本,1103
hm10397,雑貨,11500
dz10398,家電,11500
nv10399,本,719
uh10400,家電,12600
ev10401,食品,2900
ix10402,雑貨,29400
wl10403,家具,24500
qh10404,家電,19600
th10405,雑貨,23100
np10406,食品,15900
dl10407,食品,12200
we10408,雑貨,7300
uy10409,食品,29000
gg10410,衣料,24000
bd10411,雑貨,12900
kf10412,食品,11400
sl10413,家電,20900
ew10414,家電,5700
bv10415,衣料,10200
du10416,家電,20900
bs10417,食品,20700
fb10418,食品,26500
wg10419,本,1718
xa10420,家具,7700
nb10421,家具,6700
ao10422,食品,12900
wt10423,雑貨,27400
kr10424,食品,10100
oc10425,家具,18900
qw10426,雑貨,24800
aw10427,家電,22300
pj10428,食品,24200
se10429,家電,11200
py10430,本,1370
sq10431,食品,24300
ls10432,家具,3100
sh10433,本,1421
sq10434,雑貨,2000
mq10435,家電,20200
au10436,家具,26000
te10437,雑貨,22600
bv10438,本,1725
kx10439,衣料,28000
tr10440,衣料,22200
tb10441,食品,9800
wn10442,衣料,26900
hw10443,衣料,11400
rw10444,家具,26000
kj10445,本,606
ie10446,家電,23000
df10447,雑貨,15800
rs10448,雑貨,14100
ks10449,本,1277
ah10450,衣料,14800
jb10451,衣料,6400
kk10452,本,891
eu10453,衣料,23100
bi10454,家電,18600
eb10455,衣料,3800
hu10456,食品,23500
db10457,家具,29900
dc10458,家電,4900
nt10459,食品,24100
pv10460,本,1652
hw10461,食品,6700
qw10462,本,926
nx10463,衣料,18500
hx10464,家電,2800
dp10465,食品,13600
bl10466,家具,17700
lr10467,食品,12800
ao10468,衣料,24800
lc10469,衣料,22600
mm10470,雑貨,27100
ie10471,本,802
no10472,家電,23600
zb10473,衣料,17200
eu10474,家具,13000
jm10475,家具,24600
ym10476,家具,11500
bp10477,雑貨,12500
gn10478,食品,11200
it10479,衣料,14400
ck10480,家電,14100
ji10481,雑貨,3200
hc10482,衣料,1400
fi10483,家具,25500
jw10484,本,1707
jp10485,家具,4300
hb10486,食品,18800
xn10487,衣料,26400
ff10488,家具,1300
hs10489,家電,2200
uv10490,家具,29200
rv10491,家電,27700
mi10492,衣料,4500
qm10493,家具,12500
lw10494,雑貨,28900
ld10495,家具,14100
au10496,家電,9700
ma10497,衣料,27200
vs10498,雑貨,10700
up10499,衣料,21700
ca10500,本,1960
qw10501,家電,26500
zs10502,家電,21300
wc10503,本,1333
xf10504,家具,24500
so10505,雑貨,15600
js10506,家電,27200
ua10507,家具,7300
aq10508,本,2127
wq10509,雑貨,29800
gs10510,家電,13600
ng10511,雑貨,20300
ig10512,衣料,12400
si10513,家具,16300
bt10514,食品,16200
uf10515,雑貨,15100
pe10516,本,721
xd10517,本,1632
xt10518,食品,21500
ex10519,雑貨,4500
bt10520,衣料,21400
ya10521,食品,7300
zt10522,雑貨,5700
rd10523,衣料,17900
le10524,雑貨,22600
os10525,家具,28500
mf10526,衣料,12000
zd10527,家具,18800
hu10528,本,618
ci10529,家電,23800
tw10530,家具,15100
kt10531,衣料,21700
sb10532,家具,29600
fs10533,食品,23800
bo10534,食品,22900
cn10535,衣料,8100
ob10536,衣料,11500
ww10537,雑貨,20900
sg10538,雑貨,25400
jj10539,家具,2600
ji10540,本,727
kc10541,雑貨,20200
ou10542,食品,16000
mi10543,衣料,7300
ox10544,衣料,24100
zr10545,食品,20800
nn10546,衣料,11300
qc10547,食品,15600
aj10548,衣料,7900
hi10549,衣料,18600
ia10550,衣料,22200
en10551,衣料,19800
lh10552,食品,10900
me10553,家電,13700
ol10554,家具,22500
sq10555,家電,25900
vo10556,食品,15000
vm10557,食品,9500
sk10558,家電,8400
ta10559,雑貨,12000
dc10560,食品,10400
fz10561,家電,7600
wn10562,食品,13200
zf10563,家電,25500
ao10564,雑貨,12300
xh10565,雑貨,25100
do10566,雑貨,28700
qe10567,食品,3100
qe10568,雑貨,26700
cr10569,家具,17300
jj10570,食品,11300
sh10571,家具,14500
yo10572,本,2166
fy10573,雑貨,21500
av10574,衣料,4500
xw10575,家具,4200
id10576,本,2317
bt10577,食品,10600
rb10578,家電,22600
yf10579,本,2445
rw10580,本,1767
ix10581,本,1918
xh10582,家電,10200
yn10583,食品,15500
px10584,雑貨,11700
cg10585,食品,8200
fm10586,家具,9900
cv10587,衣料,1300
rt10588,雑貨,6100
lk10589,雑貨,17700
ga10590,本,1291
fv10591,家電,27600
cp10592,家具,20600
ub10593,家電,2900
qm10594,雑貨,27500
ez10595,食品,5700
as10596,家具,5100
iq10597,本,1337
id10598,食品,22400
uo10599,衣料,16200
nl10600,衣料,11700
wv10601,衣料,1700
vp10602,本,936
lo10603,家具,14600
ff10604,家電,29900
th10605,食品,17800
tr10606,雑貨,23500
ay10607,本,836
rr10608,食品,21700
cr10609,衣料,10100
cn10610,本,2349
pp10611,本,917
bi10612,衣料,24700
an10613,雑貨,26700
yt10614,家電,24400
pd10615,本,756
kb10616,雑貨,18900
dm10617,食品,26500
aj10618,衣料,11100
na10619,家具,2100
yn10620,家電,16800
wh10621,家具,22200
ri10622,衣料,18100
ot10623,食品,20800
wa10624,食品,11300
nj10625,家具,18700
ib10626,家具,9100
ce10627,雑貨,20300
ta10628,家具,8300
