customerid,orderdate,orderno,itemprice,orderitem,orderitemcate,ordernum,orderprice,,
D1000163,2020/10/9,20201009-100001,20900,fs11651,家電,1,20900,,
B1000289,2019/3/19,20190319-100002,4800,nf11720,家電,3,14400,,
E1000363,2020/4/26,20200426-100003,6500,mn11006,衣料,2,13000,,
V1000455,2020/5/26,20200526-100004,18500,qq11194,食品,2,37000,,
W1000557,2020/6/24,20200624-100005,23800,zt10912,衣料,3,71400,,
V1000680,2021/5/5,20210505-100006,10600,bt10577,食品,2,21200,,
Y1000728,2021/1/18,20210118-100007,6100,cy11936,家電,1,6100,,
Z1000837,2019/9/25,20190925-100008,27900,tj12794,家具,2,55800,,
J1000984,2021/8/26,20210826-100009,13800,vq11104,食品,1,13800,,
U1001043,2020/2/20,20200220-100010,16200,ol11260,家電,2,32400,,
Y1001136,2021/8/7,20210807-100011,4200,ok10135,食品,1,4200,,
A1001295,2021/11/1,20211101-100012,21300,zi10877,家電,3,63900,,
N1001357,2019/11/19,20191119-100013,23400,mk12618,衣料,1,23400,,
F1001454,2020/3/17,20200317-100014,18600,ma11774,雑貨,2,37200,,
B1001565,2019/12/28,20191228-100015,5900,pf11618,衣料,2,11800,,
H1001696,2019/4/7,20190407-100016,24700,qf12817,衣料,3,74100,,
T1001784,2020/5/12,20200512-100017,11500,ym10476,家具,2,23000,,
U1001868,2021/8/18,20210818-100018,7400,ri11879,家具,3,22200,,
I1001954,2020/10/13,20201013-100019,23700,el11258,雑貨,3,71100,,
K1002033,2020/3/3,20200303-100020,29600,jm12260,食品,1,29600,,
P1002192,2019/6/1,20190601-100021,18500,gy12017,食品,1,18500,,
Z1002288,2019/10/12,20191012-100022,1861,us12855,本,3,5583,,
I1002398,2019/11/23,20191123-100023,13200,yh11401,雑貨,2,26400,,
S1002491,2019/8/18,20190818-100024,1093,xs11445,本,3,3279,,
V1002533,2020/7/3,20200703-100025,12300,ki11464,衣料,1,12300,,
B1002685,2019/6/18,20190618-100026,16000,mo12442,雑貨,3,48000,,
I1002757,2021/2/13,20210213-100027,2079,lv10650,本,3,6237,,
W1002811,2020/3/8,20200308-100028,7700,gs12743,家具,2,15400,,
J1002933,2019/11/29,20191129-100029,28500,hn11080,家電,2,57000,,
G1003057,2019/12/10,20191210-100030,17400,cq10799,食品,3,52200,,
G1003174,2021/8/12,20210812-100031,4900,dc10458,家電,3,14700,,
I1003275,2021/7/14,20210714-100032,5600,wz12218,衣料,3,16800,,
M1003357,2019/10/18,20191018-100033,21500,dh12451,衣料,1,21500,,
N1003440,2019/10/4,20191004-100034,2017,nc11371,本,1,2017,,
S1003542,2021/9/21,20210921-100035,3800,id10646,家電,3,11400,,
W1003610,2021/10/1,20211001-100036,16000,ou10542,食品,2,32000,,
L1003784,2020/11/14,20201114-100037,18700,pf11240,雑貨,3,56100,,
F1003873,2019/7/4,20190704-100038,1520,bx12436,本,1,1520,,
E1003983,2019/4/13,20190413-100039,23700,hz11391,家電,1,23700,,
X1004096,2019/8/13,20190813-100040,29100,wz12824,家具,1,29100,,
G1004147,2019/11/8,20191108-100041,24700,ri11588,衣料,2,49400,,
Y1004280,2021/8/27,20210827-100042,2331,ep11658,本,2,4662,,
A1004384,2021/7/21,20210721-100043,25900,yp12484,家電,1,25900,,
G1004419,2021/6/6,20210606-100044,22400,dx10756,家電,1,22400,,
G1004528,2019/10/24,20191024-100045,1171,gu10140,本,1,1171,,
W1004698,2019/7/4,20190704-100046,29400,pn11536,雑貨,3,88200,,
N1004715,2021/4/13,20210413-100047,24200,xt12862,家具,2,48400,,
