item,stock
ax10002,13
gr10003,146
nb10004,51
de10005,151
lg10006,40
vb10007,72
jz10008,13
gp10009,112
pz10010,42
da10011,138
ny10012,178
pd10013,156
ig10014,67
fh10015,25
pe10016,40
he10017,189
zr10018,194
xx10019,66
jb10020,21
qu10021,123
zu10022,171
re10023,48
yl10024,85
ap10025,17
ed10026,99
ol10027,62
fv10028,186
gr10029,18
gb10030,162
sf10031,183
id10032,133
pg10033,89
pt10034,129
em10035,111
ob10036,185
qt10037,21
dr10038,30
np10039,79
is10040,91
oo10041,64
sa10042,137
cz10043,3
eq10044,45
da10045,70
pe10046,155
jy10047,92
ga10048,137
yq10049,189
gh10050,60
tf10051,149
oh10052,154
cc10053,151
vi10054,19
za10055,73
fj10056,176
bx10057,159
rp10058,170
he10059,158
bx10060,125
cl10061,58
qq10062,34
wc10063,111
zl10064,60
in10065,36
bj10066,64
tl10067,52
wf10068,5
nb10069,130
mh10070,132
fh10071,106
rh10072,167
cy10073,58
ny10074,98
sc10075,77
bn10076,106
kc10077,200
yz10078,90
bv10079,82
kr10080,187
jg10081,181
rp10082,32
jj10083,44
ft10084,37
gq10085,133
om10086,142
de10087,73
xo10088,153
yj10089,128
tu10090,194
or10091,39
kt10092,1
ap10093,18
mq10094,113
xb10095,174
fl10096,79
iy10097,55
pc10098,35
uy10099,132
bk10100,146
in10101,192
um10102,76
bu10103,191
yl10104,175
ho10105,182
ip10106,0
fj10107,199
xi10108,20
fx10109,115
jl10110,95
pf10111,113
pg10112,46
ru10113,75
eb10114,80
ai10115,56
pj10116,163
ko10117,38
bc10118,76
ox10119,43
ay10120,77
kc10121,159
bj10122,95
sb10123,18
jl10124,22
hf10125,176
sz10126,105
ct10127,156
fz10128,78
uh10129,85
jm10130,18
hj10131,147
ih10132,2
is10133,144
kx10134,178
ok10135,90
tx10136,62
xo10137,110
mf10138,86
cl10139,92
gu10140,200
vh10141,166
uy10142,82
aq10143,171
id10144,64
vy10145,119
hi10146,82
lu10147,83
nk10148,31
ft10149,192
ut10150,114
wb10151,173
pa10152,29
ik10153,74
ip10154,159
ve10155,45
xa10156,62
xh10157,86
qn10158,12
pz10159,102
yu10160,159
bs10161,70
zv10162,13
jd10163,123
le10164,121
kq10165,90
lj10166,39
am10167,4
ja10168,185
bn10169,43
ap10170,23
ei10171,19
hd10172,34
qz10173,14
tx10174,70
xj10175,13
rj10176,91
bb10177,11
vu10178,171
ig10179,38
lx10180,33
af10181,80
yi10182,140
qe10183,147
td10184,175
bz10185,167
ap10186,0
vx10187,171
il10188,75
wp10189,99
hw10190,86
aq10191,38
zh10192,138
nv10193,48
xu10194,46
dx10195,183
ve10196,105
na10197,145
wx10198,52
wk10199,85
lx10200,51
bf10201,182
cx10202,175
it10203,111
ai10204,31
kl10205,183
qa10206,169
rh10207,45
eu10208,162
zy10209,118
im10210,156
ia10211,98
cd10212,189
gq10213,19
